=====Results======
+ Run 1 + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + +
        Sorting THOUSAND values 	Merge Sort 	Selection Sort
            Duration (microsec) 	       105	           890
                          Swaps 	      8675	           999
                   Comparisions 	       999	           999
    Sorting TEN_THOUSAND values 	Merge Sort 	Selection Sort
            Duration (microsec) 	       105	           890
                          Swaps 	    129113	          1998
                   Comparisions 	     10998	          1998
Sorting HUNDRED_THOUSAND values 	Merge Sort 	Selection Sort
            Duration (microsec) 	       105	           890
                          Swaps 	   1665501	          2997
                   Comparisions 	    110997	          2997
+ Run 2 + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + +
        Sorting THOUSAND values 	Merge Sort 	Selection Sort
            Duration (microsec) 	       106	           896
                          Swaps 	      8715	          3996
                   Comparisions 	       999	          3996
    Sorting TEN_THOUSAND values 	Merge Sort 	Selection Sort
            Duration (microsec) 	       106	           896
                          Swaps 	    129278	          4995
                   Comparisions 	     10998	          4995
Sorting HUNDRED_THOUSAND values 	Merge Sort 	Selection Sort
            Duration (microsec) 	       106	           896
                          Swaps 	   1665807	          5994
                   Comparisions 	    110997	          5994
+ Run 3 + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + +
        Sorting THOUSAND values 	Merge Sort 	Selection Sort
            Duration (microsec) 	       118	           902
                          Swaps 	      8731	          6993
                   Comparisions 	       999	          6993
    Sorting TEN_THOUSAND values 	Merge Sort 	Selection Sort
            Duration (microsec) 	       118	           902
                          Swaps 	    129236	          7992
                   Comparisions 	     10998	          7992
Sorting HUNDRED_THOUSAND values 	Merge Sort 	Selection Sort
            Duration (microsec) 	       118	           902
                          Swaps 	   1665656	          8991
                   Comparisions 	    110997	          8991
+ Run 4 + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + +
        Sorting THOUSAND values 	Merge Sort 	Selection Sort
            Duration (microsec) 	       107	           890
                          Swaps 	      8717	          9990
                   Comparisions 	       999	          9990
    Sorting TEN_THOUSAND values 	Merge Sort 	Selection Sort
